,Open,High,Low,Close,Volume
count,2018.0,2018.0,2018.0,2018.0,2018.0
mean,300.9777273993735,303.94095211246577,297.9800558037744,301.15691804082473,28323628.047571853
std,88.39915030380752,88.71339125705025,88.00414176190914,88.42606361205637,12792382.29091565
min,130.90272636229017,134.30405037049496,126.61287900381573,129.38363647460938,7164500.0
25%,233.0873121285429,235.8626711068979,230.96190264793918,234.10791778564453,20163350.0
50%,285.60041985563464,287.56743109513025,282.34778833562797,285.7135874430338,24990900.0
75%,386.3432443660338,391.14192132938837,382.56703575881494,387.76810455322266,32845700.0
max,503.04998779296875,506.7799987792969,499.739990234375,503.510009765625,97012700.0
