Date,Close,residual,lag_1,lag_3,rolling_mean_7,rolling_std_14,log_diff,day_of_week,month,rsi_14,macd,macd_signal
2020-02-19,78.43292999267578,3.087286680068577,77.31322479248047,78.03424835205078,78.19143458775112,0.5906352655202525,0.014378839636290941,2,2,55.759418672760546,0.36649970887907557,0.39616979127125923
2020-02-20,77.62828063964844,2.6035926895667885,78.43292999267578,77.67373657226562,78.03320748465401,0.585010314729724,-0.010312062557981783,3,2,50.481685590945446,0.31517961634601477,0.3799717562862104
2020-02-21,75.87116241455078,1.775674366908579,77.62828063964844,77.31322479248047,77.6211918422154,0.8208392184230383,-0.022895131661059054,4,2,41.29072863939726,0.13121080091950432,0.3302195652128692
2020-02-22,74.66986083984375,0.9465719181657664,75.87116241455078,78.43292999267578,77.0890633719308,1.1987511576544903,-0.015960128991141076,5,2,36.41001340407232,-0.11024991571231624,0.24212566902783214
2020-02-23,73.46855926513672,0.13449415698771194,74.66986083984375,77.62828063964844,76.43682207380023,1.6492347446473146,-0.016218991775960312,6,2,32.2985315001645,-0.3940024556060422,0.11490004410105728
2020-02-24,72.26725769042969,-0.9507535436360849,73.46855926513672,75.87116241455078,75.66446794782367,2.1337637577679596,-0.016486390363976255,0,2,28.79663023234545,-0.707655967686236,-0.04961115825640136
2020-02-25,69.81941986083984,-2.9002597503411898,72.26725769042969,74.66986083984375,74.59392438616071,2.8605115798033447,-0.03445896666313786,1,2,23.26205311903057,-1.140600557942136,-0.26780903819354834
2020-02-26,70.927001953125,-1.4431489761050926,69.81941986083984,73.46855926513672,73.52164895193917,3.086199243867555,0.015739014062096324,2,2,29.833355443469443,-1.3784497360179842,-0.48993717775843554
2020-02-27,66.29064178466797,-5.482664594708739,70.927001953125,72.26725769042969,71.90198625837054,3.882633146797178,-0.06760246895924027,3,2,21.52423682871654,-1.918942071469786,-0.7757381565007057
2020-02-28,66.25184631347656,-4.983963560137157,66.29064178466797,69.81941986083984,70.52779824393136,4.353812787933835,-0.0005854043160953282,4,2,21.470350259558742,-2.323631237158466,-1.0853167726322577
2020-02-29,68.30787658691406,-2.0340485334820504,66.25184631347656,70.927001953125,69.6189433506557,4.418019026958945,0.030561749947727535,5,2,31.28821728745565,-2.450201459265301,-1.3582937099588663
2020-03-01,70.36390686035156,0.6537371314713188,68.30787658691406,66.29064178466797,69.17542157854352,4.265957760920772,0.029655361744135966,6,3,39.44167830952055,-2.3574298284563753,-1.5581209336583681
2020-03-02,72.41993713378906,3.3363198113739774,70.36390686035156,66.25184631347656,69.19723292759487,4.029344360904072,0.028801191206558663,0,3,46.30352825455871,-2.0938663941471702,-1.6652700257561286
2020-03-03,70.11994171142578,1.067420116777098,72.41993713378906,68.30787658691406,69.24016462053571,3.811619643529749,-0.03227440747528565,1,3,40.742025549274196,-2.0469845189749662,-1.7416129243998961
2020-03-04,73.37242126464844,4.874409146138035,70.11994171142578,70.36390686035156,69.58951023646763,3.3592803426872515,0.04534090414242087,2,3,49.9051473284915,-1.7274691878111668,-1.7387841770821504
2020-03-05,70.99244689941406,3.4302316356164226,73.37242126464844,72.41993713378906,70.26119668143136,2.8688787883183693,-0.032974643242236645,3,3,44.48453777728776,-1.6473059097635172,-1.7204885236184237
2020-03-06,70.04966735839844,2.757761467544457,70.99244689941406,70.11994171142578,70.80374254499164,2.522212531915517,-0.01336896554324607,4,3,42.514552633669574,-1.640934690522144,-1.7045777569991678
2020-03-07,68.20287577311198,2.019545554831512,70.04966735839844,73.37242126464844,70.7887424287342,2.3162645669898536,-0.026717793419145153,5,3,38.88213027145459,-1.7645652897658977,-1.7165752635525138
2020-03-08,66.35608418782552,0.6914093785391605,68.20287577311198,70.99244689941406,70.21619633265904,2.325106373031795,-0.02745127576270967,6,3,35.60596245235875,-1.98864026988268,-1.770988264818547
2020-03-09,64.50929260253906,-1.0994197193242357,66.35608418782552,70.04966735839844,69.08610425676618,2.5760458232963295,-0.028226170177245713,0,3,32.64384622226768,-2.288857428972719,-1.8745620976493815
2020-03-10,69.15536499023438,3.94895461725239,64.50929260253906,68.20287577311198,68.94830758231026,2.568709644953906,0.06954635513858776,1,3,45.032825996289596,-2.1273596004211583,-1.925121598203737
2020-03-11,66.75354766845703,2.005597256849243,69.15536499023438,66.35608418782552,68.00275421142578,2.581787825539566,-0.03534819546108903,2,3,40.84983216034429,-2.1681845114080573,-1.9737341808446012
2020-03-12,60.16132736206055,-4.2288171970104464,66.75354766845703,64.50929260253906,66.45545142037528,3.4222358593527913,-0.10397770119692051,3,3,32.05018931499458,-2.7013363092851677,-2.1192546065327145
2020-03-13,67.36915588378906,3.195040989602182,60.16132736206055,69.15536499023438,66.0725212097168,3.382126240169954,0.1131575420755091,4,3,45.798352370332154,-2.513279900654581,-2.198059665357088
2020-03-14,64.48020680745442,0.3915507458252998,67.36915588378906,66.75354766845703,65.54071135747999,3.5442891571165065,-0.043828979832860604,5,3,42.11990980282087,-2.5677583683507095,-2.271999405955812
2020-03-15,61.59125773111979,-2.2428833684960106,64.48020680745442,60.16132736206055,64.8600218636649,3.8847118438069264,-0.04583836498633609,6,3,38.76672192199429,-2.8116362010584055,-2.379926764976331
