,Open,High,Low,Close,Volume
count,2015.0,2015.0,2015.0,2015.0,2015.0
mean,157.86369406314233,159.66731854572708,156.2080535041369,158.04274271167537,89340470.66997519
std,44.472545580996425,44.75750160293428,44.17629759113656,44.49186209814449,55535488.4424281
min,55.27775144769988,55.37954272359019,51.52842281078119,54.37858963012695,23234700.0
25%,129.43593185432715,131.04318207069687,127.8242777566603,129.4376983642578,53568250.0
50%,157.57218957153339,160.2021942138672,155.9012620500719,157.79303487141928,74403800.0
75%,187.95586599075745,189.3273404919496,186.48413902359056,188.00347709655762,105250100.0
max,257.56867823862046,259.47408555117545,257.0100282923795,258.39666748046875,426510000.0
