record_date,Open,High,Low,Close,Volume
2020-01-02,71.62709199861638,72.68128882574726,71.37321819790198,72.62084197998047,135480400.0
2020-01-03,71.84712526182395,72.67645428247283,71.68996492576686,71.91482543945312,146322800.0
2020-01-04,71.57632495303902,72.62648568960012,71.3877310725952,72.10583750406902,146322800.0
2020-01-05,71.30552464425408,72.57651709672739,71.08549721942353,72.29684956868489,146322800.0
2020-01-06,71.03472433546915,72.52654850385467,70.78326336625187,72.48786163330078,118387200.0
2020-01-07,72.49750642408024,72.75380038336598,71.92689191208954,72.14691925048828,108872000.0
2020-01-08,71.84952541053639,73.60973691556963,71.84952541053639,73.30750274658203,132079200.0
2020-01-09,74.28674110091968,75.05804331745496,74.03528757623693,74.86461639404297,170108400.0
2020-01-10,75.0991465547697,75.59964810131231,74.53094485063419,75.03385925292969,140644800.0
2020-01-11,75.182969039167,75.9542712541971,74.76467429635014,75.56821187337239,140644800.0
2020-01-12,75.2667915235643,76.3088944070819,74.9984037420661,76.10256449381511,140644800.0
2020-01-13,75.3506140079616,76.66351755996668,75.23213318778205,76.63691711425781,121532000.0
2020-01-14,76.57406362681236,76.78441745974806,75.47876712733354,75.6020736694336,161954400.0
2020-01-15,75.40142065489596,76.28394340554573,74.84530507127162,75.27810668945312,121923600.0
2020-01-16,75.82211395087957,76.33228922922538,75.45943283140988,76.22106170654297,108829200.0
2020-01-17,76.4700857814728,77.06730085653118,76.16301849026416,77.06488800048828,137816400.0
2020-01-18,76.5257069935461,77.08423525920553,76.22347460295995,76.9343318939209,137816400.0
2020-01-19,76.5813282056194,77.10116966187988,76.28393071565573,76.80377578735352,137816400.0
2020-01-20,76.6369494176927,77.11810406455423,76.3443868283515,76.67321968078613,137816400.0
2020-01-21,76.692570629766,77.13503846722858,76.40484294104729,76.54266357421875,110843200.0
2020-01-22,77.02861598860008,77.36953706088629,76.7215486894379,76.81584930419922,101832400.0
2020-01-23,76.86904252755714,77.26556997023165,76.3201804851689,77.18578338623047,104472000.0
2020-01-24,77.43239351756245,78.17709525774193,76.77231144105775,76.96332550048828,146537600.0
2020-01-25,76.61112856696141,77.2454145194084,75.75358820666334,76.20895640055339,146537600.0
2020-01-26,75.78986361636038,76.31373378107487,74.73486497226892,75.45458730061848,146537600.0
2020-01-27,74.96859866575934,75.38205304274135,73.71614173787451,74.7002182006836,161940000.0
2020-01-28,75.5827189340282,76.98508246127517,75.48358524576821,76.81341552734375,162234000.0
2020-01-29,78.44792613497704,79.2700018323593,77.70563703421264,78.42132568359375,216229200.0
2020-01-30,77.50251438540494,78.36085647268922,77.06971298993307,78.30766296386719,126743200.0
2020-01-31,77.59681700240047,78.01994488964468,74.54062855663432,74.83560943603516,199588400.0
2020-02-01,76.25651119549435,77.2792720193365,74.05141405735804,74.76710510253906,199588400.0
2020-02-02,74.91620538858824,76.53859914902831,73.56219955808177,74.69860076904297,199588400.0
2020-02-03,73.57589958168212,75.79792627872014,73.0729850588055,74.63009643554688,173788400.0
2020-02-04,76.23797325215806,77.28491667175436,75.83177225101083,77.09390258789062,136616400.0
2020-02-05,78.22304366333603,78.52286500581071,77.11808104147103,77.72254943847656,118826800.0
2020-02-06,77.99335327455661,78.63408832571153,77.43482504328904,78.63166809082031,105425600.0
2020-02-07,78.12997524636046,78.3796069749616,77.07085803475874,77.56285095214844,117684000.0
2020-02-08,77.46833115332122,78.2301526154692,76.73559436401615,77.68564860026042,117684000.0
