ticker,split_id,MAE,RMSE,MAPE
AAPL,1,17.69012970772818,20.940619708676653,20.19674949969331
AAPL,2,29.232952637963358,32.5031919820479,25.501993198781303
AAPL,3,27.786999763929774,31.81985697215822,28.139416642286964
AAPL,4,21.538731731540373,23.53079055395551,29.08445572047938
AAPL,5,16.69519161143235,18.42298936865223,16.85728040721547
AAPL,6,18.779853720202606,23.157908452877326,16.2764849261548
AAPL,7,19.017292953222913,24.384451848633084,17.087120808662306
AAPL,8,12.350700268791874,13.414122067710878,11.060003064116142
AAPL,9,11.20283274534191,12.690667428636344,11.198212761631494
AAPL,10,12.97925844081377,14.568525556060319,11.050448434714813
AAPL,11,8.35941336351447,9.586836915213084,6.894526802757224
AAPL,12,9.05851070031121,10.441903080502051,7.701147582992005
AAPL,13,8.689464412710455,9.225583502425952,6.730758140261611
AAPL,14,8.277039972474006,10.395863321807782,6.90553536179386
AAPL,15,9.701768165466248,11.010430712684535,7.147490634370793
AAPL,16,9.473189408164579,11.060171298850099,7.848746969988644
AAPL,17,5.92234016133991,7.9834425468920305,5.066599365834928
AAPL,18,12.908558631701649,13.587230939649576,11.305466493805017
AAPL,19,4.797325901095728,5.346796639292621,3.705837252852346
AAPL,20,2.9367829608513825,3.473002582767127,2.3030860788002263
AAPL,21,3.2576903850408283,4.677209478252483,2.430191929094208
AAPL,22,8.089593119671116,9.891651936026063,5.7731017172467105
AAPL,23,7.068434175281927,9.929197685970973,5.224088296667882
AAPL,24,9.356507420018367,12.071270033941312,6.83220373406859
AAPL,25,13.309920151943317,14.409605245803572,10.340536558183937
AAPL,26,11.260896205512724,12.241278734992726,8.47710329874561
AAPL,27,11.004456017134348,11.904191281140088,7.85248508713709
AAPL,28,4.218869762721457,7.0274249023259046,2.939122428548145
AAPL,29,9.974021055834772,13.253913653270866,7.53064291229731
AAPL,30,9.687878276054464,11.87108275558383,6.479185976260121
AAPL,31,8.717343254410412,10.353478445175446,5.798405940388672
AAPL,32,26.087508717218643,27.933876872892682,16.282185476594584
AAPL,33,15.263822180104329,16.62509641800339,11.488965804613658
AAPL,34,12.378146734669466,13.499197850257358,8.66090610612717
AAPL,35,12.571958337986006,14.486582751642597,8.188458709737365
AAPL,36,7.7295739642538495,9.175671865153724,5.216531682024775
AAPL,37,6.8891356359800495,8.229763986349141,4.548228360729575
AAPL,38,11.492944889806658,11.658312793141578,6.928291449071926
AAPL,39,11.40509382483238,12.127166596892343,7.598644296588586
AAPL,40,9.271639181571336,11.263179216386897,6.085213839365882
AAPL,41,9.902430585448867,11.133990641146868,6.441318024154262
AAPL,42,11.042474141382703,14.058508779502535,7.251331230266052
AAPL,43,7.719040486207699,9.642765676400707,5.035755090880098
AAPL,44,9.464552592173508,12.027033905057941,5.5794891111616725
AAPL,45,11.459180048730973,13.315619211400424,6.889762243541899
AAPL,46,9.879635979058037,11.574155966997463,6.147188528016022
AAPL,47,10.40921328493619,11.818042603854533,6.48588005644951
AAPL,48,13.846866197590714,16.277571231116372,9.1741183623099
AAPL,49,9.478502942946736,11.449726682696207,6.87254132141731
AAPL,50,13.552669395362342,15.92611749705356,10.206165029497646
AAPL,51,11.336499162501314,12.74068673931906,8.115721339722857
AAPL,52,9.360852851713487,10.18515842146196,6.042270115546833
AAPL,53,9.47900908384558,12.093292292445046,6.742266753182238
AAPL,54,10.52352032283073,12.13135722813978,6.694676234423808
AAPL,55,13.871645832955032,16.190759321157433,8.814633681750303
AAPL,56,14.29580289476899,16.31380168297441,10.513726678490515
AAPL,57,12.20082124914498,14.64381468031729,8.151570165513661
AAPL,58,4.625459147311018,5.3617153911943305,3.0577224488712607
AAPL,59,12.071290227547848,15.279873170024972,7.593218687246267
AAPL,60,12.257835622652884,14.277166286343798,8.682756081243394
AAPL,61,16.741431904655894,19.26829330954505,10.65998979752504
AAPL,62,10.05696960792715,10.532691741236993,6.5047830937052105
AAPL,63,10.896726676311452,12.421632905855542,7.012523166756311
AAPL,64,9.429247651890869,10.191362182351336,6.103435649555834
AAPL,65,12.075426571870171,14.933126981415182,7.689435299046821
AAPL,66,12.126070395280108,14.583930689804006,7.9176676003898345
AAPL,67,15.40749556318208,16.251814757775506,9.386812674769072
AAPL,68,7.66878703336972,9.656975686216994,4.791107513039025
AAPL,69,18.66225428878094,22.522293863179733,10.793806673147234
AAPL,70,19.133421061181693,21.731404752692374,11.096161934312239
AAPL,71,25.079902935447297,28.612174684972985,15.619780168462801
AAPL,72,17.39804671898486,20.10795831867868,10.919103720674253
AAPL,73,20.007082398042666,22.014148776574558,10.701254124225411
AAPL,74,9.424054639839593,11.752373571022897,5.797211253671265
AAPL,75,15.73423815390905,18.016491326458322,9.985376281821829
AAPL,76,7.311944069476975,9.355697477084382,4.046516074213957
AAPL,77,10.316536870828692,12.241141387190329,5.894893468105248
AAPL,78,6.445599651515648,7.128907558952875,3.4479340444840045
AAPL,79,7.912812215959011,9.161786067533832,4.504771129188759
AAPL,80,6.248899720969111,8.73848319500306,3.3406119637312917
AAPL,81,4.107074167328765,4.664734886093811,2.267987000923309
AAPL,82,5.317366002211571,5.922487980477019,2.9628622688029065
AAPL,83,4.373206696584071,5.923427448822643,2.4606974510786244
AAPL,84,6.749994081873429,8.085993910798361,3.8070421501714717
AAPL,85,3.902538508545673,5.111097895065075,2.158177319003172
AAPL,86,4.460252491503332,5.039135637938457,2.4372414256540478
AAPL,87,3.776177209400556,4.5697719864419755,2.1868745150873043
AAPL,88,10.158576845197139,13.42719909614487,5.441903756109395
AAPL,89,8.259990462214981,9.288574633439662,4.44119840570072
AAPL,90,7.659947284771757,9.485658338153257,4.0837717598833105
AAPL,91,6.981466977186376,9.417204415384287,3.926922658887449
AAPL,92,10.273828085091948,13.41231595092246,5.416153904432404
AAPL,93,12.1623706338137,14.975253678773399,6.457993714558069
AAPL,94,5.869994576332841,7.477944766667434,2.8969028158662926
AAPL,95,16.935708346848823,21.545364160440617,9.949946761595967
AAPL,96,15.516210118215971,16.887637780912677,8.003295248654004
AAPL,97,13.00554086914423,16.47575869765618,6.603472261603866
AAPL,98,16.25804665311358,18.367990536937327,9.314694168298347
AAPL,99,18.718230608117757,21.916670002630752,8.624607785044827
AAPL,100,17.482654513771635,21.801460508471912,9.531757376579348
AAPL,101,25.00892583758506,29.383869661323416,13.407586158666096
AAPL,102,16.692078622900233,18.57899409831279,9.07915599847146
AAPL,103,9.945025661294892,12.030153089025141,4.62705377896398
AAPL,104,6.086458977602155,7.287459288411563,2.682879827965192
AAPL,105,15.35606704157312,16.778530459718365,6.609952859529926
AAPL,106,4.357156776981106,4.932967497785041,1.9595054211841891
AAPL,107,11.43836505256514,12.866901767168251,5.352451668810631
AAPL,108,11.284789922956653,14.145459690809918,5.348846690375039
AAPL,109,8.646474345814347,8.962569673550721,3.4214888672824566
AAPL,110,4.218861961607274,5.543249749246692,1.7735944777302848
AAPL,111,7.147676420592884,8.28242538964736,2.9552173214095365
AAPL,112,12.691985984984496,13.590976728072679,5.6064896963749975
AAPL,113,26.01271812086509,27.78166332167519,11.970798084183018
AAPL,114,24.440382340868815,25.675787408675493,12.866904930006598
AAPL,115,18.705111064934997,23.88605676081603,9.917737223835971
AAPL,116,19.058387411115614,21.879981500485194,8.261582398760456
