,Open,High,Low,Close,Volume
count,2015.0,2015.0,2015.0,2015.0,2015.0
mean,300.6805118057768,303.640986955451,297.68161787893297,300.8567483565943,28340181.98511166
std,88.1282833821327,88.43772956047195,87.72869384708675,88.14860600355955,12794641.170709616
min,130.90274173665898,134.3040661443452,126.61289387434711,129.3836212158203,7164500.0
25%,233.01906264647965,235.85452004602155,230.91464443959273,233.98223876953125,20177800.0
50%,285.2469893955168,287.5077903411879,281.99896436302697,285.5725606282552,24993000.0
75%,386.1001893507332,390.9439425971704,382.0818870944934,387.41876220703125,32890650.0
max,497.54998779296875,500.760009765625,495.3299865722656,498.8399963378906,97012700.0
