,MAE,RMSE,MAPE,ticker,result_path
AAPL,6.10902758944444,6.402578185016157,3.713770031061062,AAPL,/Users/minhtan/Documents/GitHub/Time_Series_Forecast/AI_Agent/output/output_models/prophet_results/AAPL_prophet_results.csv
GOOG,4.687963451769065,4.954234347688413,3.689361324693149,GOOG,/Users/minhtan/Documents/GitHub/Time_Series_Forecast/AI_Agent/output/output_models/prophet_results/GOOG_prophet_results.csv
MSFT,10.159250807215228,10.644815858937884,3.262332648776856,MSFT,/Users/minhtan/Documents/GitHub/Time_Series_Forecast/AI_Agent/output/output_models/prophet_results/MSFT_prophet_results.csv
