ticker,split_id,MAE,RMSE,MAPE
GOOG,1,1.5599041679628982,1.9683331845647065,2.0080168718341875
GOOG,2,0.8961068772422692,1.084767173264395,1.1918928554394084
GOOG,3,2.7696528384614596,3.02000158501656,3.7650478168767827
GOOG,4,2.5838876335437364,2.6795295748115566,3.50830045762608
GOOG,5,1.7096375109170083,1.7987859971923446,2.300082016829614
GOOG,6,0.8430389973892375,0.8692205115183389,1.1116011208250236
GOOG,7,2.4460351357209644,2.572352620987266,3.1142350786800344
GOOG,8,3.855868271580161,3.9984817686731895,4.754184713717312
GOOG,9,4.217923462486587,4.47182126202797,5.076107785663072
GOOG,10,1.9865376955963483,2.1614891144254393,2.538363816740456
GOOG,11,4.580053485114109,4.614614276716403,6.019610570913194
GOOG,12,4.31469158548114,4.390002056309676,5.7233296941343585
GOOG,13,7.085809386466738,7.108090724010202,9.841820829207945
GOOG,14,5.509322779122741,5.599753506216444,7.715710166061382
GOOG,15,1.3117474486177827,1.3863052304145373,1.799062192014785
GOOG,16,0.8289701537799345,1.0522769452248621,1.1285653982588513
GOOG,17,5.556759109073195,5.843241828401259,7.260161210296124
GOOG,18,6.052308448587075,6.066024935604899,7.772409638396686
GOOG,19,4.57678628102355,4.809317982405472,5.833587793960658
GOOG,20,5.767641277800704,5.825517263868044,7.181853740379296
GOOG,21,2.352534903098305,2.6055314985057167,2.9607347936028416
GOOG,22,4.951625440171614,5.611833022059527,5.722771855976457
GOOG,23,3.7882712197978607,3.8741703458897865,4.336003882554915
GOOG,24,1.2742650643713547,1.3373181383336226,1.4431708554510028
GOOG,25,2.3670790346259225,2.576250214332916,2.725256411764864
GOOG,26,2.7869356134825494,2.8298911081203943,3.19377277862461
GOOG,27,2.2610368700320462,2.4034891645562313,2.5600611832945983
GOOG,28,0.9712738260651606,1.031880539434516,1.0705551225300727
GOOG,29,3.6344335471302456,3.9085304899637183,4.089051905980287
GOOG,30,5.110054845938555,5.148732185952882,5.821320619822315
GOOG,31,4.827420745447904,4.836366360920554,5.5901691040756765
GOOG,32,2.917045240955628,2.9789159310023297,3.377567289868845
GOOG,33,0.9500153090019978,1.1712628509245306,1.0922278177843299
GOOG,34,1.0398717421998867,1.0610327951217466,1.2047076352146957
GOOG,35,2.053225329234394,2.2042872201342263,2.3081267311666576
GOOG,36,0.5174812549786936,0.629473367223331,0.5947279936474967
GOOG,37,2.4753913137786157,3.474284949533992,2.706782457806205
