,Open,High,Low,Close,Volume
count,2018.0,2018.0,2018.0,2018.0,2018.0
mean,124.38274159517461,125.84819988530569,123.06699115877893,124.4895264849554,27572600.74331021
std,35.4184922656336,35.69472555373622,35.111170732270686,35.38149666759906,13133116.302783726
min,52.51335331278991,53.249479191652995,50.37734943351669,52.518821716308594,6809800.0
25%,96.63061453914173,98.42168200483972,95.32835683555734,96.57097053527832,18825625.0
50%,125.90161477785131,126.90316768625524,125.01153890900984,125.95405578613281,24439450.0
75%,147.75729042254366,149.16607625829107,146.31945014844402,147.80018615722656,32252000.0
max,204.02204403120282,208.21222477597146,203.7825994771977,207.22454833984375,97798600.0
